Blog	work	platform	back	just	us	our	first	look	what	internet	could	web	design	came	two	there	stuff	text	page	maybe	some	nothing	often	like	or	keep	reading	take	video	had	check	yet	through	big	ideas	features	make	email	so	pixel	might	go	down	once	users	power	virus	trying	other	security	didn	quickly	would	apple	house	july	tech	years	ago	got	idea	google	microsoft	team	three	system	help	service	both	data	ll	working	john	simple	my	answer	lot	people	few	m	here	full	weeks	into	world	goes	without	say	product	thing	ever	do	been	course	possible	stay	point	global	future	re	history	amazon	since	started	things	ve	much	app	end	job	coming	real	black	lives	matter	today	important	doing	following	project	no	call	coronavirus	deal	week	hope	probably	until	next	she	told	now	never	clear	whether	something	else	version	having	any	own	need	president	know	mostly	fact	who	get	they	their	good	others	really	wouldn	want	day	especially	before	store	still	national	problem	bit	don	than	aren	going	long	high	isn	best	case	trump	his	away	health	words	start	will	if	he	inside	outside	government	fear	white	food	give	least	use	line	care	process	very	hand	looks	said	added	should	against	either	up	st	ones	means	doesn	see	state	city	where	couple	days	spend	space	around	country	then	home	morning	night	school	year	latest	someone	multiple	tell	took	results	those	happy	hour	early	thousands	many	media	better	even	likely	think	always	quite	were	am	taking	between	me	has	covid	after	d	c	also	recent	well	went	only	american	news	public	let	because	though	wasn	being	sure	states	bad	different	seen	why	enough	major	them	off	when	friday	another	actually	gets	march	time	social	companies	second	post	its	continue	given	twitter	too	play	while	getting	together	youtube	months	read	most	which	shows	become	business	built	pandemic	company	opportunity	china	already	under	nearly	open	smart	support	april	same	these	past	comes	save	easy	kind	story	america	hard	less	must	watch	issues	please	needs	facebook	run	hours	over	did	last	pretty	great	review	won	write	list	art	such	stories	change	appeared	little	currently	online	including	called	her	life	name	way	understanding	york	person	united	number	digital	does	group	students	learn	content	thinking	saw	set	five	love	times	third	leave	put	turned	true	live	apps	phone	services	used	show	longer	release	blog	top	site	later	across	link	every	using	b	says	each	based	may	chrome	via	find	feel	free	create	add	place	user	single	made	anyone	right	friends	small	feature	search	click	several	links	come	left	question	photo	game	seem	makes	changes	view	try	tools	cost	share	old	building	found	however	part	value	everything	looking	th	key	report	understand	human	mean	ways	monday	seems	reports	u	recently	information	science	close	million	family	sale	face	music	according	almost	includes	update	hands	private	computer	higher	price	month	photos	image	personal	safety	available	done	soon	order	com	talk	videos	performance	network	rules	federal	mind	along	rest	able	event	rights	break	far	control	community	response	example	published	turn	finally	instead	making	ad	offer	stop	due	large	move	products	during	entire	focus	takes	local	everyone	short	thought	self	spent	book	light	among	money	man	readers	again	police	result	written	whole	six	him	buy	wrote	writing	age	tiktok	lack	e	article	children	four
The Official Google Blog	22	4	8	15	16	63	14	7	19	2	9	16	7	2	8	12	2	3	2	2	19	0	5	35	76	7	1	9	6	6	5	1	20	3	2	13	25	4	16	43	2	6	1	4	34	3	0	1	29	10	2	4	9	3	4	5	2	11	3	2	2	160	0	19	11	5	28	5	4	51	19	10	1	4	24	1	0	61	10	4	10	4	4	23	29	3	10	5	7	0	4	11	11	2	3	6	2	6	5	45	6	2	5	3	5	28	5	26	1	0	9	11	36	1	3	16	10	3	7	9	6	2	0	0	0	6	0	2	11	5	0	22	2	3	11	5	0	2	2	12	14	18	0	7	0	1	26	23	31	64	2	3	1	2	17	11	0	7	15	4	4	2	1	4	17	0	3	8	5	0	5	13	0	6	0	20	2	7	67	32	4	3	2	2	0	2	2	5	1	32	0	1	8	0	4	1	1	4	4	4	1	23	1	4	5	4	19	7	15	14	0	4	1	4	19	8	6	18	1	3	3	18	6	1	1	4	0	3	4	2	2	3	4	21	9	11	18	0	1	9	0	4	0	2	5	8	29	14	5	3	1	39	3	10	2	13	4	11	20	7	4	3	0	8	2	8	0	9	1	6	4	1	22	6	22	0	2	0	0	1	28	4	6	0	2	11	13	2	1	1	22	19	3	11	2	6	4	10	27	3	5	17	2	6	5	6	0	4	4	1	4	8	24	0	5	23	4	4	2	9	0	2	5	3	4	7	1	2	3	2	2	2	4	23	1	13	0	8	3	6	0	1	14	6	11	6	0	3	2	9	13	6	5	13	3	16	3	2	0	8	4	24	2	0	6	10	15	0	2	8	9	3	0	4	0	4	4	3	8	21	11	7	11	5	2	0	5	7	8	1	13	1	6	20	3	4	12	15	14	5	4	6	4	14	14	6	5	31	4	12	1	6	6	8	9	8	2	1	1	5	0	1	5	27	0	3	3	2	7	9	0	19	2	7	4	0	9	2	2	5	1	3	4	1	1	1	10	0	0	5	21	4	25	1	5	6	7	4	2	2	0	1	5	4	4	0	1	3	2	8	10	3	7	2	26	2	10	5	5	5	3	5	5	1	2	8	6	2	10	7	2	3	1	20	12	2	13	2	8	3	3	7	22	9	2	1	1	2	11	9	3	1	4	19	8	2	1	2	1	1	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Operating System	0	2	4	4	0	2	5	3	4	1	0	3	1	1	0	7	0	4	10	0	6	0	1	17	27	1	0	1	3	2	1	0	0	0	0	4	2	1	6	6	0	7	5	0	3	1	2	0	9	2	0	1	0	0	0	0	0	0	0	0	0	108	0	1	0	5	1	0	2	1	7	0	0	0	3	1	1	2	1	3	7	2	0	3	2	0	0	0	2	0	0	1	2	0	0	1	3	1	0	3	1	0	2	2	1	5	2	9	1	0	0	1	0	0	0	1	2	0	0	0	6	0	0	0	0	1	1	0	5	0	0	16	2	2	2	2	0	3	0	3	2	2	0	4	0	1	1	15	6	3	0	1	1	0	3	3	0	0	3	5	0	0	0	3	5	2	1	5	4	0	1	0	0	0	0	0	0	1	13	11	0	1	0	0	0	0	0	0	0	7	1	1	0	2	0	3	0	2	1	1	0	5	0	0	1	2	4	0	0	1	0	0	0	0	2	0	3	6	0	2	1	2	2	0	0	0	0	9	3	0	0	1	0	4	0	1	4	0	0	1	0	0	0	1	4	1	16	0	2	1	1	9	1	2	0	10	0	1	1	1	2	1	0	0	1	0	0	9	0	1	0	0	3	2	15	0	4	1	1	0	1	0	0	0	1	3	0	0	0	0	4	5	0	0	13	0	1	3	12	18	2	0	0	0	0	0	0	1	0	0	4	3	2	2	3	3	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	3	1	2	1	0	1	0	7	0	1	0	3	0	1	0	0	4	4	0	2	2	1	2	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	2	4	2	2	1	4	1	0	2	1	5	4	0	4	1	1	2	2	1	1	1	0	7	3	0	0	0	0	1	0	0	11	53	9	0	1	0	2	3	2	2	2	2	0	1	3	5	0	3	4	0	4	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	2	1	0	0	0	0	0	0	0	2	0	2	0	1	1	0	0	0	1	6	8	0	0	3	0	1	0	2	0	5	1	3	0	0	1	0	2	2	0	0	0	0	1	1	0	7	1	5	0	0	0	2	0	1	0	0	1	1	0	1	0	0	2	2	0	0	0	0	0	2	0	0	2	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Creating Passionate Users	1	0	0	2	0	1	0	0	3	0	1	1	2	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	5	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	4	0	0	2	1	0	0	0	0	2	1	1	0	0	0	0	1	3	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	4	1	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	3	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Instapundit	0	0	0	11	1	8	2	0	3	0	0	0	0	3	2	4	0	0	0	0	2	2	0	6	5	2	0	2	2	2	0	0	0	0	0	0	0	0	10	0	0	0	2	0	2	4	2	2	0	0	0	1	3	2	5	3	1	0	0	2	0	0	0	0	2	3	0	0	0	3	0	0	2	0	0	1	0	9	1	0	4	0	1	4	0	0	0	1	2	2	0	3	6	0	3	0	0	0	0	2	0	16	0	0	1	4	2	0	0	0	0	0	2	0	0	0	0	0	0	1	7	2	5	1	1	0	0	0	0	4	3	6	1	1	0	0	0	0	0	2	0	0	5	3	1	0	10	7	5	4	4	0	1	2	0	0	0	1	2	0	1	0	0	10	4	0	0	0	0	4	4	5	15	2	0	2	1	0	6	9	2	0	0	0	0	4	0	1	1	4	2	0	0	2	4	0	2	0	0	0	0	2	2	0	0	4	3	0	6	0	0	2	0	0	0	0	0	0	2	0	0	3	0	2	0	0	0	0	3	0	3	1	1	5	1	0	1	1	1	2	0	0	0	0	0	5	8	6	6	3	0	5	1	3	0	2	2	2	1	1	0	0	0	5	1	1	0	0	0	5	0	4	1	1	11	0	3	0	2	0	0	4	1	0	2	2	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	8	3	0	0	2	0	2	2	0	0	1	0	0	1	0	0	2	2	0	3	0	0	0	2	0	2	0	2	4	3	0	2	0	0	0	2	0	2	0	2	0	0	0	1	0	0	5	0	0	5	0	0	1	1	0	1	3	0	0	0	0	1	0	0	0	0	4	0	0	3	0	0	0	0	2	0	4	0	0	0	0	0	1	0	1	0	6	0	0	4	0	4	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	1	1	0	1	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	3	4	0	0	0	2	2	0	2	0	1	0	0	1	0	1	1	1	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	2	0	0	2	0	0	0	4	2	0	0	0	0	2	0	0	0	3	0	0	0	0	0	1	4	0	1	0	2	2	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	2	2	2	1	2	0	0	0	0	0	0	0	0
Jeremy Zawodny's blog	1	0	2	1	1	2	2	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	10	0	0	1	0	0	0	0	0	0	1	1	4	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	9	0	0	0	1	3	0	1	2	0	0	0	0	2	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	1	1	0	0	1	0	1	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Joi Ito's Web	0	0	0	0	2	2	0	0	4	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	2	0	6	1	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	3	0	2	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Mashable	6	0	5	7	2	6	6	3	7	4	6	2	5	1	6	12	3	4	4	1	6	0	1	7	14	3	2	6	24	4	3	0	3	4	0	5	5	0	6	16	5	2	1	2	4	5	0	2	7	4	0	0	6	12	0	3	28	3	3	1	1	20	11	0	8	2	1	4	4	6	5	1	4	2	3	2	1	7	5	9	1	6	1	5	6	1	2	1	4	3	2	4	5	0	0	5	1	2	2	15	4	28	2	0	5	7	5	19	2	1	1	2	6	3	4	4	1	1	0	0	10	2	3	6	5	0	1	0	0	0	0	7	0	1	6	0	1	1	0	5	3	4	6	1	0	0	7	8	7	6	2	1	0	2	4	1	1	3	4	6	1	0	1	5	6	0	1	0	0	2	32	1	13	0	1	0	0	1	6	16	6	0	0	3	0	2	6	3	2	4	11	0	1	0	1	0	2	1	1	2	2	10	0	0	2	2	3	1	1	4	0	1	0	13	0	1	2	7	0	4	8	9	1	0	0	0	0	0	4	1	0	3	0	6	4	4	7	0	1	0	0	0	0	0	2	1	12	0	3	27	36	6	0	2	2	2	1	1	0	1	3	3	2	0	3	0	1	2	0	0	1	0	3	6	6	2	0	5	1	0	6	5	5	1	10	7	0	1	0	1	0	7	2	1	0	2	30	1	6	0	0	1	0	1	3	1	2	1	1	1	0	1	1	0	0	5	0	6	3	2	0	0	0	1	4	1	2	0	0	1	0	0	0	4	0	5	2	4	0	2	0	2	0	0	0	4	0	3	3	5	1	3	0	4	3	6	0	0	0	0	0	0	1	6	2	0	1	0	0	1	0	0	1	0	0	1	0	0	0	3	5	4	1	2	0	2	1	6	2	0	0	0	3	2	34	1	0	1	5	4	1	5	2	5	2	0	2	1	1	3	2	5	0	0	1	1	1	0	0	2	0	1	0	1	0	0	0	5	1	2	2	0	0	1	3	0	3	0	2	4	0	1	2	1	0	0	2	3	1	2	14	2	5	7	0	3	0	4	2	4	0	2	3	1	2	4	0	0	12	8	0	29	4	2	18	2	0	4	63	1	7	3	2	0	4	1	0	2	0	0	0	0	1	1	2	1	0	0	1	0	1	0	6	3	0	0	0	0	1	1	0	1	3	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	21	3	24	3	1	0
The Unz Review: Michelle Malkin's Articles	0	0	0	2	1	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	2	0	0	1	3	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	4	0	0	1	0	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	2	1	1	0	0	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	3	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
The Viral Garden	17	1	20	21	16	7	23	2	44	0	8	1	0	1	8	37	3	0	7	4	17	2	9	27	38	3	8	7	0	40	7	1	4	12	6	0	20	3	62	0	5	14	2	3	10	5	0	7	19	0	14	1	31	1	0	1	0	6	5	10	18	0	0	5	3	0	10	5	6	0	17	1	1	2	68	3	14	68	26	18	25	3	4	9	4	2	2	6	2	17	3	40	11	3	1	2	6	0	1	4	1	0	3	14	6	20	6	0	5	1	11	3	1	0	2	4	4	13	23	4	19	1	0	1	5	2	12	0	9	2	3	19	10	0	1	9	8	1	2	8	24	8	0	22	7	5	16	21	90	72	17	9	10	3	34	17	1	11	1	14	0	6	8	15	10	10	10	8	1	6	7	8	0	8	3	0	1	4	47	61	17	0	1	0	1	0	0	6	5	20	3	1	1	23	1	1	13	1	16	0	3	23	2	4	5	2	22	1	0	18	6	10	2	6	7	0	23	0	0	3	1	19	2	14	0	11	10	5	12	1	4	3	1	25	123	10	19	7	32	6	1	36	25	4	2	57	13	0	8	5	0	10	4	12	7	16	0	1	0	8	38	5	8	21	11	0	3	3	3	21	5	0	50	5	38	0	9	11	1	3	26	135	30	3	43	11	1	2	61	6	2	8	6	5	0	7	10	23	19	2	10	12	0	0	13	0	0	2	1	0	2	2	2	12	16	25	2	2	1	2	0	2	2	0	5	3	0	2	3	6	14	0	4	15	13	12	3	13	0	11	9	12	0	8	3	3	0	3	1	8	1	5	5	2	10	27	5	2	6	0	5	1	5	4	0	8	15	4	2	0	0	2	1	1	4	4	2	1	3	0	0	2	1	5	2	1	48	4	12	5	0	20	10	30	2	0	5	0	12	0	8	9	2	6	10	9	3	4	1	8	3	7	12	5	0	3	3	9	9	8	10	0	0	1	2	4	1	5	4	7	2	8	2	4	10	1	7	10	0	10	9	5	0	13	1	8	6	0	3	0	0	6	4	1	6	0	0	0	0	6	2	2	0	2	0	0	0	3	2	1	0	1	6	0	0	3	3	1	22	1	0	0	4	10	0	0	4	0	2	28	0	2	1	0	11	2	4	1	2	2	5	4	11	2	2	2	3	2	2	5	1	2	1	0	10	1	11	4	0	0	0	3	3	1	10	3	0	4	5	1	0	3	2	7	5	7	0	0	0	2	0	5
c551ab42-d5d4-11ea-8ac8-f218987b58f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PaulStamatiou.com - Technology, Design and Photography	1	0	0	0	0	0	0	1	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	0	6	0	0	0	1	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
